Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location

IDC,Développeur informatique,https://www.m-job.ma/offres-emploi/114962-developpeur-informatique-65-rabat,Nous recherchons un développeur avec une expérience d'au moins 2 ans dans le domaine du développement PHP / open source.,L'offre a été publiée il y a 2 semaines avant sur le site.,Nous sommes un cabinet de conseil en IT basés à Rabat-Agdal.,Intérim,Informatique / Internet / Multimedia,"Vous devez maitriser des Frameworksde développement (exemple Laravel, Symfony…). Vous serrez chargé du développement dans plusieurs projets au sein d'une équipe. Salaire intéressant à discuter selon votre expérience, poste à pourvoir immédiatement avec possibilités d’évolutions et de formations.",Débutant (de 1 à 3 ans),Français,A négocier,L'offre a été publiée il y a 2 semaines avant sur le site.,Informatique / Internet / Multimedia,Rabat

TILMI CONECT,DÉVELOPPEUR WINDEV ; WEBDEV ET WINDEV MOBILE,https://www.m-job.ma/offres-emploi/114888-developpeur-windev-webdev-et-windev-mobile-4-tanger,"Vos compétences: - Vous avez de très bonnes connaissances en programmation WINDEV - Vous maîtrisez le langage SQL et des bases de données - Vous disposez d’un diplôme de l’enseignement supérieur à orientation informatique Votre profil: - Vous êtes orienté résultats et nouvelles technologies - Vous aimez le travail d’équipe - Vous êtes structuré et respectez les délais - Vous êtes consciencieux et précis - Vous êtes rigoureux, proactif et savez fixer les priorités - Vous êtes problem solver - Vous êtes flexible et disponible - Vous êtes créatif",Français,"Votre qualité de développeur Windev ; webdev et windev Mobile , vous êtes chargé(e) de la conception, du développement et de la maintenance ou du support de diverses applications Web et mobiles.",CDD,Informatique / Internet / Multimedia,"Vos tâches: - Développer des applications en Windev, Windev Mobile, Webdev - Déterminer, en collaboration avec le manager, les besoins du client en matière de développement informatique - Effectuer des tests sur les nouvelles applications",Junior (de 3 à 5 ans),BAC+3,non défini,L'offre a été publiée il y a 3 semaines avant sur le site.,Informatique / Internet / Multimedia,Tanger

Advanced Global Technology,Ingénieur Support IT,https://www.m-job.ma/offres-emploi/114876-ingenieur-support-it-casablanca,"Ingénieur Réseaux et Télécoms - Talentueux, Autonome avec un sens de responsabilité. - Bac+5 ou équivalent, dans le domaine des réseaux et télécommunications. Avec des compétences polyvalentes autour des réseaux LAN, WAN, WIFI, GSM, FTTH, SIP,... - Connaissances des routeurs et Switch Cisco, OS Windows, Linux,... - Bon niveau d'anglais. - Une première expérience est un atout.",Français / Anglais,Prestataire de services à valeur ajoutée dans le domaine des télécommunications et des TI,CDI,Informatique / Internet / Multimedia / Télécoms / Réseaux,Poste proposé : Ingénieur Support Aura pour missions: - Concevoir des solutions réseaux et télécommunications adaptées aux besoins de nos clients. - Participer au déploiement des plateformes et au support de nos clients. - Conseiller nos clients pour adopter nos solutions de haute technologie et a forte valeur ajouter.,Débutant (de 1 à 3 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Informatique / Internet / Multimedia,Casablanca

Advanced Global Technology,Ingénieur Réseaux & Télécommunications,https://www.m-job.ma/offres-emploi/114846-ingenieur-reseaux-telecommunications-casablanca,"Nous sommes un intégrateur des solutions de Télécommunications et Réseaux> Nous travaillons essentiellement avec les operateurs de télécommunications et avec les grands comptes. Nous cherchons un profil ayant des compétences polyvalentes dans le domaine des réseaux, télécommunications et et systèmes, Un Bon Niveau d'Anglais et des connaissances autour des Routeurs et Switchs CISCO, Windows, Linux, Virtualisation, Protocoles SIP, etc... sont requises.",L'offre a été publiée il y a 3 semaines avant sur le site.,Prestataire de services à valeur ajoutée dans le domaine des télécommunications et des TI,CDI,Informatique / Internet / Multimedia / Télécoms / Réseaux,Il/Elle aura pour missions de participer au déploiement de nos solutions a forte valeur ajoutée chez nos clients et a leur apporter du support nécessaire.,BAC+5 et plus,Français / Anglais,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Informatique / Internet / Multimedia,Casablanca

HOTELITUDES,INGÉNIEUR SUPPORT TECHNIQUE /RÉSEAU & SYSTÈME BILLINGUE ( ANG/FRA),https://www.m-job.ma/offres-emploi/114785-ingenieur-support-technique-reseau-systeme-billingue-angfra-2-casablanca,"Dans le cadre de son support technique, nous recrutons un Ingénieur support bilingue réseaux & système informatique h/f sur Casablanca / Maarif Vous avez déja une expérience support et vous maitrisez les technologies Réseau, routage et wifi ou Voip vous permettant de mener a bien des actions de résolutions d'incident Interlocuteur (trice) privilégié(e) des clients, votre mission sera d'assurer le support technique en français et en anglais Rattaché directement à un Team Manager, vos principales missions consisteront à : Prendre en charge des incidents techniques remontés par les clients Analyser et explorer l'ensemble des possibilités d’erreurs, et rechercher les informations si nécessaires auprès des équipes de l’entreprise afin d’assurer une qualification pertinente des incidents Assurer la résolution en recherchant des solutions techniques adaptées, dans le délai le plus court possible Communiquer avec le client et mettre en œuvre la solution retenue et/ou assister le client dans cette opération Il vous sera également demandé : D’accompagner à distance le déploiement et paramétrage de solutions Hospitality; IPTV, Réseau (Firewall, Switch, Controleur & réseau wifi, VOIP), et informatique. Informer et/ou former les équipes techniques du client sur le produit ou sur la solution ; Remonter auprès des services études, production, qualité, marketing, commercial, l'ensemble des informations recueillies permettant d'améliorer la qualité des produits et la satisfaction du client",Français / Anglais,"Hotelitudes fait partie des acteurs privilégiés du support technique et du déploiement à distance des solutions IPTV de la marque Directstreams qui est positionnée sur le marché de l’hôtellerie haut de gamme. Elle assure en parallèle le support technique sur l'ensemble des solutions et technologies déployées : Switching - Wifi - Téléphonie IP – Vidéosurveillance - Imaginez-vous demain dans notre équipe, afin d’offrir à nos clients une des plus belles expériences de support, tout en évoluant dans vos compétences professionnelles. Hotelitudes est également impliquée dans une démarche collaborative dans la gestion des projets confiés, ainsi que dans son approche managériale, basée sur la responsabilisation de chacun, la collaboration, et les valeurs humaines.",CDI,Informatique / Internet / Multimedia,"De formation Bac +4 à 5 (ING système /réseaux), une expérience professionnelle de 1 a 3 ans minimum dans le support technique sera demandée Vous maîtrisez parfaitement : RESEAU : VLAN, Spaning Tree, Routage, Firewaling Analyse protocole (Dhcp, ARP) Analyse Wlan, Multicast, VOIP et protocole SIP SYSTEME INFORMATIQUE : AD Active directory Exchange et Office 365 Systèmes d’exploitation Windows et Linux Infrastructures virtualisées VMware et SAN Sécurité des données et des accès Environnement Linux Au-delà de vos compétences techniques, votre aisance linguistique en anglais et français, votre sens de la relation-client, et votre excellent niveau en communication verbale et écrite seront fortement appréciées Esprit d’équipe, rigueur, exigence et autonomie, seront également des atouts qui vous seront très utiles pour réussir vos futurs challenges.",Débutant (de 1 à 3 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 1 mois avant sur le site.,Informatique / Internet / Multimedia,Casablanca

ADS GLORY,Recrutement des Développeurs Web,https://www.m-job.ma/offres-emploi/114784-recrutement-des-developpeurs-web-tanger,"Compétences : Diplôme Bac+2, Bac+3 et Bac+5 en Développement Informatique et nouvelles technologies. Connaissances solides en Programmation orientée objet Une expérience dans la gestion de projets IT Maîtrise langage serveur ( python, php, java...) et/ou framework ( django,flask, laravel, springboot...) Maîtrise langage ou framework Web front end( HTML, CSS, javascript, react...) Méthode de conception et étude ( UML, Merise) Administration base de données ( Postgresql / Mongodb ...) Sens de l’écoute, disponibilité, confidentialité, flexibilité, organisation, esprit d’analyse et de synthèse, bonne communication.",Français,"Dans le cadre de son développement et afin de renforcer notre équipe, ADS GLORY recrute des développeurs Web confirmé souhaitant faire partie d'une équipe dynamique et participer à une aventure prometteuse pour sa carrière, et désirant s'investir dans des projets à fort potentiel",CDI,Informatique / Internet / Multimedia,"Missions : Rédiger les lignes de codes nécessaires à la création d’un logiciel interne Développer les interfaces Corriger et optimiser les fonctionnalités (Qualité, Ergonomie…) Documenter les applications pour les développements ultérieurs et la mise en production Tests et écriture des corrections nécessaires. Préparer et réaliser les tests unitaires. Réaliser les tests de charge. Apporter les correctifs nécessaires suite à ces tests ou aux tests fonctionnels réalisés par les utilisateurs ou la maîtrise d’ouvrage. Vous gérez la maintenance corrective et évolutive des applications : Assurer les corrections suite aux problèmes soulevés (bugs). Prendre en compte les évolutions des solutions techniques existantes. Assurer la programmation des évolutions demandées par la maîtrise.",Junior (de 3 à 5 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Informatique / Internet / Multimedia,Tanger

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Journalisme / Audiovisuel / Médias,Maroc

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Juridique / Droit,Maroc

Co Managers,ASSISTANTE JURIDIQUE EXPERIMENTEE ARABO-FRANCOPHONE,https://www.m-job.ma/offres-emploi/113168-assistante-juridique-experimentee-arabo-francophone-casablanca,".Titulaire d’une licence en Droit des affaires ou droit privé. · Maîtrise parfaite de l’arabe classique et du français avec de bonnes capacités rédactionnelles · Expérience de 2 ou 3 ans dans un cabinet d’avocat ou cabinet de conseil juridique. · Grande qualité de discrétion et de respect de la confidentialité. · Maîtrise des logiciels de bureautique : traitement de texte, tableur, messagerie et agenda électroniques. · Très organisée, rigoureuse, méthodique et autonome · Réactive et diplomate",Arabe / Français,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES,CDI,Juridique / Droit,"L’assistante juridique, directement attachée au Directeur juridique, facilite la bonne organisation du travail de son supérieur hiérarchique et assure son secrétariat juridique. Elle fait le suivi des procédures administratives, prépare les dossiers et,assure les tâches de secrétariat classique- gestion de planning, réunions, déplacements etc… Missions : · Gestion de l’accueil, traitement de toutes sortes de courrier. · Rédiger la correspondance pour les dossiers dont elle est en charge. · Assister aux réunions et rédiger les comptes-rendus · Classer et archiver la documentation, · Communiquer les informations aux différents services concernés. Nous vous offrons : - un cadre de travail agréable dans une structure stable en plein développement. -Une rémunération attractive et tous les avantages sociaux -Un plan de carrière évolutif",Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans),BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 5 mois avant sur le site.,Juridique / Droit,Casablanca

Standard trans express,Chargée d'Exploitation Transport,https://www.m-job.ma/offres-emploi/115027-chargee-dexploitation-transport-casablanca,"De formation Bac+2 Logistique, Transport ou Commerce international, vous faites preuve d'une expérience d'au moins 4 ans en tant qu’agent d’exploitation ; Vous faites preuve d’une bonne maîtrise du domaine de l'exploitation (import et export) ; Votre parcours professionnel dans l'exploitation vous a permis de gérer avec succès les missions dont vous aviez la responsabilité ; Vous avez un bon niveau en Anglais.",Français / Anglais,"Nous recrutons pour le compte d'une multinationale de Logistique et Transport International, une Chargée d'Exploitation Transport (F)",CDI,Logistique / Transport,Missions : Réaliser le suivi des opérations en import et export : réservation / enlèvement ; déchargement Contacter les différents sous-traitants pour le suivi et positionnement du lot ; Contacter les compagnies maritimes pour confirmer l'arrivée /départ du navire ; Etablir et envoyer la pré-alerte aux clients avec accusé de réception ; Contrôler les conditions de livraisons (libre ou contre remboursement) ; Facturer et valider les dossiers exploitations ; Renseigner et émettre des fiches de non-conformité suite aux anomalies constatées lors de l'exécution de la tâche ; Mettre en place une action corrective ou préventive dans le cadre de l'amélioration continue ; Renseigner les tableaux et indicateurs de suivi …,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Logistique / Transport,Casablanca

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Logistique / Transport,Maroc

meyer&meyer,Facility Manager,https://www.m-job.ma/offres-emploi/114796-facility-manager-tanger,Ingenieur Batiment ou equivalent. Experience confirmée comme facility manager Excellentes compétences en communication écrite et orale en francais et anglais Excellentes capacités d'organisation et de gestion Une qualification professionnelle correspondante est un avantage,Arabe / Français / Anglais,Nous recherchons un facility manager expérimenté pour superviser toutes les activités liées aux bâtiments. Vous serez chargé de maintenir les infrastructures en bon état et de veiller à ce que les installations soient fonctionnelles.,CDI,Logistique / Transport,"Assurer la gestion technique des bâtiments en tenant compte des dispositions légales. Responsabilité du personnel pour l'équipe sur place Pilotage de la gestion de la maintenance et des contrôles Gestion de la garantie, des défauts et des dommages Controlling des prestations propres et externes Etablissement et calcul des offres Attribution et surveillance des prestations de sous-traitance Documentation et reporting",Junior (de 3 à 5 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 1 mois avant sur le site.,Logistique / Transport,Tanger

TANGER RH COMPETENCES,Chargé Export,https://www.m-job.ma/offres-emploi/114202-charge-export-tanger,Chargé Export-Douane ( Technicien en logistique ),Anglais,"INTERMEDIATION, RECRUTEMENT,FORMATION RH",CDI,Logistique / Transport,Technicien en logistique,Débutant (de 1 à 3 ans),BAC+4,de 6000 dh à 8000 dh,L'offre a été publiée il y a 2 mois avant sur le site.,Logistique / Transport,Tanger

SOMATRIN/OTEC,chauffeurs / coursier sur SETTAT -BERRECHID,https://www.m-job.ma/offres-emploi/114157-chauffeurs-coursier-sur-settat-berrechid-casablanca,chauffeur disposant de permis B / C / D / EB / EC / ED chauffeur coursier aussi,Arabe / Français,Entrepreneur de transport de marchandises exploitant se carrière à la recherche d'un chauffeur coursier,CDI / CDD,Logistique / Transport / Secrétariat / Services Généraux,chauffeur coursier chauffeur mini bus / transport personnel chaffeur Camions tout type,Junior (de 3 à 5 ans),BAC,A négocier,L'offre a été publiée il y a 2 mois avant sur le site.,Logistique / Transport,Casablanca / Settat / Berrechid

Groupe Robelbois,Responsable logistique et ordonnancement - Casablanca,https://www.m-job.ma/offres-emploi/113728-responsable-logistique-et-ordonnancement-casablanca-casablanca,"Ingénieur de formation, vous avez une dizaine d'année d'expérience dans les opérations logistique en lien avec la distribution. Vous avez eu l'occasion d'encadrer des équipes de magasinier, chauffeur, ouvriers. Autonome, vous savez faire face aux imprévus et êtes capable de fédérer l'équipe autour de vos objectifs.",Arabe / Français,"Présent au Maroc depuis 1953, le Groupe Robelbois accompagne ses clients pour leur fournir les meilleurs solutions et produits dans le domaine du bois, de l'acier, du papier et des matériaux de construction. Cette institution familiale, leader sur le marché, a construit sa réussite sur l'engagement client, une culture du résultat et une valorisation de ses hommes. Pour faire face à la croissance de nos activités et nos nouveaux challenges nous sommes à la recherche de talents engagés et ambitieux.",CDI,Logistique / Transport,"En lien avec la direction générale et le directeur logistique, vous garantissez la performance et le niveau de service nécessaire de l'activité logistique. Vous devrez notamment : • Organiser, coordonner, optimiser et superviser les activités logistiques (Flottes de plus de 25 camions et 50 000 m2 de dépôts couverts) • Répartir les ressources et les moyens liés à l'activité logistique (humains, techniques, et matériels)• Piloter, animer, communiquer et motiver les équipes • Encadrer les équipes du dépôt, de l'atelier, et les chauffeurs, dans le respect des procédures qualité, hygiène, et sécurité • Animer, coordonner les projets logistiques • Mettre en place une relation Clients/Fournisseurs efficace",Confirmé (de 7 à 10 ans) / + 10 ans,BAC+5 et plus,de 15 000 dh à 20 000 dh / de 20 000 dh à 30 000 dh,L'offre a été publiée il y a 4 mois avant sur le site.,Logistique / Transport,Casablanca

meyer&meyer,Planificateur de transport national,https://www.m-job.ma/offres-emploi/115090-planificateur-de-transport-national-tanger,Bac+2 en logistique Force de proposition Esprit d’équipe Capacité d’analyse Diplomate Rigueur,Arabe / Français,Le planificateur de transport national gère le parc de tracteurs. négocie avec les loueurs et organise l’utilisation des véhiculesselon le besoin de l'exploitation,CDI,Marketing,Planifier le transport national. Coordonner avec l'equipe d'exploitation. Assurer le suivie avec les chauffeurs preparer les contrats de transport et envoyer aux transporteurs.,Débutant (de 1 à 3 ans),BAC+2,A négocier,L'offre a été publiée il y a 5 jours avant sur le site.,Marketing,Tanger

PAUL ET JOSE,Chargée d'accueil & Standardiste parfaitement francophone - Casa,https://www.m-job.ma/offres-emploi/114903-chargee-daccueil-standardiste-parfaitement-francophone-casa-casablanca,"Excellente présentation, parfaite élocution, aisance relationnelle Expérience professionnelle reconnue dans un poste similaire. Maitrise parfaite de la langue française. Être polyvalente, professionnelle. Maitrise exigée de l’outil informatique. Maitrise des techniques d’accueil téléphonique. Faire preuve d’une écoute attentive. Faire preuve des capacités relationnelles et de communication. Avoir le sens de l’initiative.",Français,"Représentante de l’image de la société auprès du public, la chargée d’accueil doit animer un espace de réception et d’information. Elle est en charge d’accueillir le public, l’écouter mais également de prendre le dépôt de sa demande, l’informer et l’orienter. Chez Paul & José, vous serez en mesure d’animer l’espace et d’accompagner au mieux les usagers dans leurs requêtes, mais SURTOUT d’afficher une image courtoise et agréable. De nature dynamique, flexible et polyvalente, vous êtes à l'écoute des besoins du client et avez un état d'esprit positif !! Vous dotez d’un bon relationnel ? Vous faites preuves de capacités d’écoute et de diplomatie ? Vous avez le sens de l’accueil ? Ce poste est fait pour vous ! 💪 Rattaché à la direction générale vous serez amené à : Gérer les appels téléphoniques. Gérer l’accueil physique. Contribuer à la gestion des documents entrants et sortants. Animer et organiser l’espace d’accueil. Effectuer des tâches administratives de base. Maintenir l'accueil et orienter le public vers les différents services. Renseigner le public sur place ou par téléphone. Recevoir, filtrer et orienter les appels.",CDI,Marketing,Chargée d'accueil & Standardiste,Débutant (de 1 à 3 ans),BAC+2,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Marketing,Casablanca

EMC ADS,EMC ADS S.A.R.L,https://www.m-job.ma/offres-emploi/114887-emc-ads-sarl-tanger,"BAC+/2 OU 3 Passionné par l’internet & la nouvelle technologie Sens du management : goût pour le travail en équipe, et capacité à jongler avec de multiples tâches ; esprit d’analyse, esprit d’équipe, gestion de stress et organisation.",Anglais,"EMC ADS est une Société spécialisée en Marketing pour le compte du marché américain, Dans le cadre de la croissance continue de notre société nous sommes a la recherche des agents avec contrat CID merci d' envoyer votre CV",CDI,Marketing,Agent du support,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 3 semaines avant sur le site.,Marketing,Tanger

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Marketing,Maroc

RFC,Assistante administrative et commerciale Chargée de Clientèle Francophone/ expérience réussie en centres d’appels exigée,https://www.m-job.ma/offres-emploi/114842-assistante-administrative-et-commerciale-chargee-de-clientele-francophone-experience-reussie-en-centres-dappels-exigee-2-rabat,"Vous bénéficiez d’une bonne élocution en langue française et vos qualités humaines et relationnelles vous permettent de trouver le ton juste auprès d’une clientèle exigeante basée en France. Poste en CDI ouvert à des profils juniors de niveau BAC+2, basés autour de Rabat, idéalement avec une première expérience réussie en centres d’appels ayant collaborés avec des sociétés francophones. Envoyez votre CV et lettre de motivation à la société RFC-Maroc",Français,"Klereo est un fabricant français leader Européen des équipements d’automatisation de piscine, fiables, intelligents et connectés.",CDI,Marketing / Métiers des centres d'appels,"Afin de renforcer notre service administration des ventes et support après-vente, nous recrutons une assistante administrative et commerciale pour répondre aux appels des utilisateurs de nos produits. Au sein d’une entreprise à taille humaine, innovante et en pleine croissance, vous suivrez un parcours de formation complet sur nos solutions pour assurer la prise en charge de demandes commerciales de prospects propriétaires de piscine souhaitant s’équiper de nos solutions d’automatisation et pour répondre aux besoins après-vente des utilisateurs de nos produits.",Débutant (de 1 à 3 ans),BAC+2,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Marketing,Rabat

3SC - SELL SERVE SOLUTIONS CENTER,Chargé(e)de communication et de marketing digital ( stage pré-embauche),https://www.m-job.ma/offres-emploi/114798-chargeede-communication-et-de-marketing-digital-stage-pre-embauche-kenitra,"Niveau Bac+ 4/5 d'école de commerce option Marketing et/ou communication Première expérience dans un poste similaire Qualité personnelle : Un sens de créativité; Esprit d’analyse; Un sens relationnel ; Force de proposition Compétences techniques: Qualité rédactionnelle : excellent niveau rédactionnel, et une aisance relationnelle prononcée; Une connaissance sur les tendances du marketing digital qui aide à rester à jour sur l’actualité.",Français,"SELL SERVE SOLUTIONS CENTER (3SC) est une jeune entreprise dynamique qui opère dans le domaine des services Offshore et de la gestion de relation client. Dans le cadre de son développement, 3SC recrute pour son nouveau site basé à Kenitra (la ville haute) pour un Stage pré-embauche d'une durée de 2 mois (deux mois), un(e) chargé(e) de communication et de marketing digital pour notre société basée à Kenitra. Titulaire d’un diplôme d’Ecole de Commerce option Marketing et/ou Communication, avec une première expérience dans un poste similaire. Vous avez une excellente connaissance du web, réseaux sociaux et canaux de communication digitale. Vous êtes doté d’un esprit d’analyse et de synthèse. Vous avez un excellent niveau rédactionnel, et une aisance relationnelle prononcée.",CDI,Marketing,"Vos principales responsabilités seront de : Participer à la refonte, l'élaboration et la mise en œuvre de la stratégie de communication digitale. Élaborer, mettre en œuvre et améliorer les campagnes Marketing digital permettant l’acquisition et relance de Leads. Communication digitale Email Marketing Campagnes de parrainage Contenu digital",Débutant (de 1 à 3 ans),BAC+5 et plus,A négocier,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Kenitra

PAUL ET JOSE,Chargés de Projets Web - Passionnés par le Digital & Management !!,https://www.m-job.ma/offres-emploi/114741-charges-de-projets-web-passionnes-par-le-digital-management-casablanca,"- Vous avez un goût prononcé pour le webdesign. - Vous avez de solides connaissances du monde de l'internet (site internet, e-commerce, référencement, réseaux sociaux, ....). - Vous avez un esprit d'équipe et de compétition. - Vous êtes doté d'une forte capacité d'écoute et d'empathie. - Vous êtes dynamique, souriant, curieux avec le souci du détail. - vous évoluerez dans un contexte international. - La maîtrise (orale et écrite) du français est indispensable.",Français,"En tant que Chargé projet chez Paul & José, vous serez amené à promouvoir la stratégie e-marketing de nos clients et mettre en place des actions correctives pour proposer la solution digitale adéquate. Avec l’évolution des nouvelles technologies et l’émergence des réseaux sociaux, les chargés de projet Web ont un grand rôle à jouer pour permettre aux entreprises de faire face à une concurrence toujours plus accrue sur Internet. Rattaché(e) aux responsables des équipes et le directeur technique, vous serez l'interface entre les clients qui vous seront confiés et les intervenants techniques (webdesigner, développeurs, référenceurs, rédacteurs...). Garant du suivi de production vous assurerez : • La conformité technico-commerciale des dossiers client ; • La validation des prestations à effectuer ; • La réservation des noms de domaines ; • Les briefs clients ; • La mise en production ; • Le suivi et respect des plannings ; • La présentation des sites internet aux clients",CDI,Marketing,Chargés de Projets Web,Junior (de 3 à 5 ans),BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Casablanca

PAUL ET JOSE,Superviseur expérimenté en Télévente - Digital - Rémunération attractive !!,https://www.m-job.ma/offres-emploi/114684-superviseur-experimente-en-televente-digital-remuneration-attractive-casablanca,"✔️Parfaite maîtrise des techniques de vente, ✔️Expérience de 2 ans minimum dans le management des équipes commerciales, ✔️ Parfaite maîtrise des techniques de coaching, ✔️ Excellente communication à l'écrit comme à l'oral ✔️ Parfaite maîtrise du français, ✔️ Bon pédagogue, ✔️Aisance relationnelle, ✔️ Sens commercial développé, ✔️ Certifications en digital : très souhaitable.",Français,"- Vous souhaitez développer votre carrière dans le secteur de la relation client ? - Vous êtes passionné(e) par le #Leadership ? - Vous savez gérer les situations les plus délicates ? - Et Vous justifiez d'une expérience dans un poste de management d’équipe télévente ? Qu’attendez-vous ? Ce poste est pour vous !! Dans le cadre de notre développement et afin de renforcer notre équipe managériale, nous recrutons actuellement UN SUPERVISEUR confirmé pour la télévente, qui sera amené à encadrer une équipe de 10 à 15 commerciaux. Votre mission sera d'animer, former, organiser, coacher et accompagner votre équipe pour optimiser sa performance. Vos principales tâches seront : - Garantir le développement du chiffre d'affaires de l'activité en encadrant une équipe de commerciaux - Animer et motiver votre équipe pour créer une ambiance positive et stimulante tournée vers le résultat et le dépassement des objectifs - Organiser le travail et s'assurer que les employés comprennent les missions qui leur sont attribués - Suivi journalier de la production, de l’assiduité - Assurer la montée en compétence et l’accompagnement de votre équipe : Suivi individuel, coaching de groupe et double écoute - Superviser la productivité des employés et apporter un avis et un encadrement constructif - Veiller à l’exécution des procédures et normes qualité mises en place - Mise en place et animation de challenges internes",CDI,Marketing,Superviseur / Manager d'équipe,Junior (de 3 à 5 ans),BAC+2,de 8000 dh à 10 000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Casablanca

